# MAGPI_ID      z_spec        SFR        SFR_err  SFR_flag
#==Notes: SFR_flag=0 use Ha/Hb for correction, 1 use Ha/Hg, 2 use Hb/Hg, 3 use Hb/Hd==
#==Require S/N>=3 on both lines; Corrections assume Milky Way extinction curve==
1201057188     0.879600     0.541487     0.213924       2
1201061256     0.402700    0.0137356   0.00172156       0
1201101154     0.413700     0.205586   0.00752332       0
1201112189     0.879000          NaN          NaN     -99
1201118138     0.346900          NaN          NaN     -99
1201123284     0.348700     0.134539   0.00491021       0
1201124338     0.347700          NaN          NaN     -99
1201129319     0.304900    0.0454930   0.00128568       0
1201141060     0.870500          NaN          NaN     -99
1201142200      1.42410          NaN          NaN     -99
1201151066     0.671500     0.109793    0.0493323       2
1201166105     0.516500     0.688877     0.314686       2
1201168152      1.09310          NaN          NaN     -99
1201197192     0.346200          NaN          NaN     -99
1201197199     0.346900          NaN          NaN     -99
1201201063     0.348200          NaN          NaN     -99
1201207317      1.26120          NaN          NaN     -99
1201219137     0.543900      2.85626     0.168024       2
1201229132     0.543700     0.227664     0.197197       2
1201233238     0.333800          NaN          NaN     -99
1201252223     0.346000          NaN          NaN     -99
1201267266     0.969000          NaN          NaN     -99
1201271244     0.199200    0.0418872   0.00126273       1
1201278041      1.44370          NaN          NaN     -99
1201278070     0.298400    0.0162427   0.00325672       0
1201290288     0.757400     0.745674     0.210229       3
1201294250     0.871200     0.711737     0.401390       2
1201300075     0.479600     0.700328     0.173738       2
1201302222     0.299200     0.385395   0.00433949       0
1201303336      1.26390          NaN          NaN     -99
1201310142     0.690300     0.821167     0.271508       2
1201310200     0.826700     0.113907    0.0786510       2
1201314179     0.333800    0.0796436    0.0103364       0
1201320149     0.262200    0.0487175   0.00337835       0
1201341060     0.382500     0.115543   0.00767820       0
1201358328     0.349400          NaN          NaN     -99
1202044210     0.739300          NaN          NaN     -99
1202068195     0.455900          NaN          NaN     -99
1202077074     0.398300     0.669494    0.0175124       0
1202091312     0.196000    0.0675506   0.00124649       1
1202098159     0.844400     0.824092     0.254605       2
1202124233     0.558900    0.0580010    0.0378778       2
1202130182     0.482500     0.210687    0.0405026       2
1202142230     0.325700    0.0323107   0.00174519       0
1202153285     0.794000          NaN          NaN     -99
1202156126     0.551900    0.0276369    0.0222688       2
