MAGPIID,Ha,Ha_err,Hb,[OI]6302,[OIII]5008,[NII]6585,[SII]6718,"type(sf+AGN=0, sf=1, sy=2, ln=3)","type(sf=1, sy=2, ln=3) SII","type(sf=1, AGN>1) NII",SFR,SFR_err,"re, arcsec","re, kpc"
1201302222,7686.0967,9.84451623520871e-18,2257.9492,319.1603,5941.7627,528.8731,2071.8525,1.0,1.0,0.0,0.18870777825605423,0.016535010581161497,0.813,18.65312582561056
1202077074,7057.9746,1.9461200668216687e-17,1903.8724,451.77637,2154.2295,1447.8549,0.0,1.0,1.0,0.0,0.4062687522525216,0.06362883877421807,0.9819999999999999,27.136948159087662
1202197197,89872.664,1.787572492745085e-16,18453.01,4663.3076,6106.199,34855.625,24197.748,1.0,1.0,0.0,4.530536214166085,0.28232641825834304,2.224,50.08785779072323
1203040085,330.3189,1.1472539755890471e-15,20.714163,352.46606,1197.5432,3224.6526,0.0,2.0,2.0,0.0,0.2596628594235911,2.1286481292090165,1.092,25.8059824249601
1203060081,865.8226,inf,0.0,241.39545,717.56714,986.8491,0.0,2.0,2.0,2.0,inf,inf,0.8420000000000001,18.40143374660447
1203070184,0.0,0.0,54.86933,173.73975,1456.4053,62.751534,0.0,0.0,0.0,2.0,0.0,0.0,1.348,31.577560104615863
1203076068,54678.164,7.847263012365171e-17,9991.323,3329.1846,8106.83,16193.463,16354.135,1.0,1.0,0.0,3.9863937911231146,0.13901742245527063,1.069,24.919648207875714
1203087201,0.0,0.0,43.170036,73.84547,196.32825,34.540634,0.0,0.0,0.0,0.0,0.0,0.0,1.016,23.821351009566953
1203103298,0.0,0.0,15.170157,41.132816,39.98871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8050000000000002,18.8241107271606
1203191233,9326.922,4.953018932153038e-17,3462.5847,568.7739,5578.801,895.63025,2642.3447,1.0,1.0,0.0,0.2025871533272235,0.1225993648775016,1.752,44.94758986117758
1203195161,50991.676,8.612895940971264e-17,11909.421,1575.62,1884.4841,18436.59,14483.037,1.0,1.0,0.0,1.7553475700623289,0.12301585672671035,1.69,36.90586988500962
1203196196,152.00693,1.2526067524524926e-17,92.874084,539.86115,2560.0688,1165.8912,0.0,0.0,2.0,0.0,0.0008169089721007241,0.022729127702957784,1.911,44.86504143260884
1203230310,0.0,,0.0,19.531483,188.79071,52.18901,0.0,0.0,0.0,2.0,,,0.9499999999999998,22.386743145334837
1203235348,11686.93,3.669960861897108e-17,3220.7651,219.76123,2556.3823,1545.2903,2338.8354,1.0,1.0,0.0,0.5081557075698558,0.09496990482848083,0.935,24.2820222558473
1203247089,8875.143,1.1098374991780828e-17,2533.5515,332.66855,5380.8926,589.26794,2357.9468,1.0,1.0,0.0,0.24410107171995113,0.019616823968998824,0.8799999999999999,20.500078672118704
1203305151,22.750372,inf,0.0,45.350914,518.9016,0.0,0.0,2.0,2.0,2.0,inf,inf,0.863,20.487130961316225
1204198199,22087.25,2.3853270783098016e-16,4604.201,129.21397,1984.8242,11327.645,1488.8062,0.0,1.0,0.0,1.2957390658694545,0.45312687210409225,1.99,47.353200342822404
1204213219,32590.852,2.1976274909768497e-17,8912.569,2106.064,10571.791,17065.736,12986.937,0.0,1.0,0.0,0.6414365377376434,0.025312424606373052,0.8500000000000001,17.34321296679116
1205093221,4155.4067,1.6394993613757898e-15,182.61554,903.0259,3832.8303,6214.254,5058.6772,0.0,2.0,2.0,6.021978402246943,2.5832786378522647,1.207,27.163944541583437
1205196165,8976.101,2.5052071031230233e-17,2019.9894,90.82889,446.6103,3307.6465,2758.6123,1.0,1.0,0.0,0.37167375012443443,0.03969176840907073,0.908,20.46911121639327
1205197197,45388.91,1.2847383679068486e-16,9732.321,1241.3392,13172.375,26120.066,11286.334,0.0,1.0,2.0,2.080097536586587,0.20274961569270167,1.725,38.84031885615421
1206110186,18.371685,1.4318515257722713e-18,25.770483,173.76353,2659.7559,317.16803,0.0,2.0,2.0,0.0,1.1509493709213099e-05,0.0018542352685179803,1.643,34.79823816155392
1206117335,0.0,,0.0,62.914303,232.95084,0.0,0.0,0.0,0.0,0.0,,,0.777,18.946394016824623
1206151090,40220.66,1.9182786173065772e-17,10325.693,1516.8062,7711.279,10322.945,10902.912,1.0,1.0,0.0,1.6025341294358622,0.038973979732126234,0.8559999999999999,20.770509420878124
1206159217,10.587504,3.5522222177155435e-19,13.352905,0.0,6.176687,75.46902,0.0,1.0,1.0,0.0,1.3376153192813588e-05,0.0007356885834418183,0.836,20.39749260351669
1206196198,50.21727,4.2718165182081025e-18,44.501415,135.73862,1668.8098,1425.1156,26.514599,0.0,2.0,0.0,0.0001356805328840113,0.008766036336809805,1.713,41.68475092123695
1206205075,30.331245,2.911183987892845e-18,13.450564,30.165844,440.48615,625.001,0.0,2.0,2.0,0.0,0.0003702019040451134,0.005965449146453697,0.854,20.773042839294337
1206243216,2101.7834,1.42179355613724e-17,547.44885,0.0,149.27928,658.94714,701.9668,1.0,1.0,0.0,0.08085240822832206,0.02878391583295643,0.8500000000000001,20.60370380812354
