,MAGPIID,segID,xmax,ymax,RAmax,Decmax,z.x,QOP,mag_it,mag_rt,R50_it,R90_it,axrat_it,ang_it,fwhm_g,fwhm_r,fwhm_i,fwhm_z,stelkinfrac0p5Re,stelkinfracRe,gaskinfrac0p5Re,gaskinfracRe,re_galfit,re_err_galfit,n_galfit,n_err_galfit,q_galfit,q_err_galfit,mag_galfit,mag_err_galfit,pa_galfit,pa_err_galfit,chi2_galfit,z.y,StellarMass_bestfit,StellarMass_median,StellarMass_16,StellarMass_84,SFRburst_bestfit,SFRburst_median,SFRburst_16,SFRburst_84,P_asym,P_asym_err,C,C_err,centre_asym_x,centre_asym_y,centroid_x,centroid_y,walk_dist_pix,nan_frac
0,1201197192,2,197.5,192.5,174.711151,-1.928511,0.3462,4,19.195,18.582,1.052,3.012,0.726,102.26,0.707767182131195,0.657309206645654,0.592053528441023,0.541421871857646,1.0,0.886363636363636,0.0,0.0,0.91,0.01,3.3,0.03,0.68,0.0,18.7,0.01,-73.28,0.33,24.91,0.3462,236574251977.498,275997620491.394,242478815631.511,310003095547.202,6.50174517711999e-100,0.000186817601492,2.99450286265475e-39,0.0910251208464138,0.3670707741421721,0.02208653142130742,3.367277479249835,0.09405163108167505,74.27758318608925,74.37481671304815,71.84373317365738,71.84373317365738,2.999998906317929,0.43
1,1201197199,1,197.5,199.5,174.711151,-1.928122,0.3469,4,18.803,18.203,1.175,4.253,0.753,72.49,0.707767182131195,0.657309206645654,0.592053528441023,0.541421871857646,1.0,0.943396226415094,0.0,0.0,2.15,0.04,7.93,0.07,0.85,0.0,17.9,0.01,-60.64,0.64,19.361,0.3469,430077634919.468,425292326278.477,367241462321.578,493360887236.014,0.0005243670361937,2.30243846875829e-07,9.49864138406405e-23,0.0536294235432805,0.6357787380946335,0.017930935544381327,3.5617882054979297,0.10985140242572787,111.43611657352777,110.49997736758024,113.33828090599923,113.33828090599923,2.9999675209005154,0.21
2,1202197197,2,197.5,197.5,175.33876,-1.582294,0.2913,4,18.514,18.121,2.224,4.752,0.567,132.22,0.685580595757755,0.638082566094695,0.570035746916227,0.516527422854199,1.0,0.901554404145078,1.0,1.0,2.09,0.01,1.59,0.01,0.67,0.0,18.07,0.0,-49.71,0.27,75.824,0.2913,109620784826.3,108490510875.298,96087481254.4977,116404096608.124,1.15587302396512e-13,1.17393150985038e-61,0.0,1.05256043949189e-20,0.15755205476860462,0.004097512154774618,2.6459643666995407,0.025122267454753024,78.26828884311081,78.32344161163766,77.00473532108632,77.00473532108632,1.5357838241170443,0.2
3,1203040085,6,40.5,85.5,175.355982,0.627485,0.3124,4,19.269,18.641,1.092,2.942,0.703,164.36,0.672699441646158,0.614228065805519,0.536103766758851,0.476963254519314,1.0,0.872340425531915,0.136363636363636,0.0319148936170213,0.91,0.01,3.25,0.03,0.72,0.0,18.58,0.0,-87.92,0.34,10.163,0.3124,170317540589.95,153132979378.411,137216262112.592,170596883285.034,0.0,2.36535370321778e-20,2.00302508323971e-109,1.61437922973667e-05,0.04574780401551261,0.008130573233110677,3.085859063944384,0.7133747762486672,39.682106029178854,41.37737951067382,39.63519007209544,39.63519007209544,0.17716703056674882,0.31
4,1203070184,3,70.5,184.5,175.354316,0.632985,0.3084,4,18.831,18.23,1.348,3.622,0.851,82.24,0.672699441646158,0.614228065805519,0.536103766758851,0.476963254519314,1.0,1.0,0.0,0.0,1.62,0.01,4.36,0.03,0.92,0.0,18.02,0.0,-76.19,1.0,20.799,0.3084,269252737820.791,141997282866.617,78792643773.7173,233233528276.463,0.0,7.44133464990344e-41,0.0,4.76244573821982e-07,0.0319755689540418,0.0063200343663229255,3.3396715794073932,0.34201710997173845,69.78835700270815,71.2862392170383,69.09043924617254,69.09043924617254,0.7889266326233391,0.14
5,1203195161,10,195.5,161.5,175.347371,0.631707,0.2788,4,19.161,18.802,1.69,3.295,0.852,61.11,0.672699441646158,0.614228065805519,0.536103766758851,0.476963254519314,1.0,0.973214285714286,1.0,1.0,1.54,0.01,0.96,0.01,0.84,0.01,18.89,0.01,51.65,1.61,127.54,0.2788,52913363821.5397,58385674640.2829,52872761696.7724,64433537039.9584,2.44200277485718,2.07243605913041,0.680522770453648,3.65298566176319,0.1912185819172927,0.007004209975219105,2.40658135735203,0.052127407709554846,64.65618685847693,64.50002884491933,64.35340558601209,64.35340558601209,0.5150707872567396,0.59
6,1203196196,2,196.5,196.5,175.347315,0.633651,0.3094,4,18.005,17.415,1.911,5.227,0.755,82.12,0.672699441646158,0.614228065805519,0.536103766758851,0.476963254519314,1.0,1.0,0.0142857142857143,0.0172413793103448,1.91,0.0,2.69,0.0,0.92,0.0,17.31,0.0,78.54,0.38,10.387,0.3094,596958081335.927,370660039709.239,293581655607.018,586761915994.57,0.0,5.4016233702973e-164,0.0,2.62415129531881e-16,0.020004634421742558,0.0044105969483161835,3.4127825166753674,0.01103674801116414,117.45362570127251,117.45381083893065,117.1849627557535,117.1849627557535,0.4255891238688022,0.26
7,1203230310,5,230.5,310.5,175.345426,0.639985,0.3111,4,19.772,19.2,0.95,2.343,0.748,143.92,0.672699441646158,0.614228065805519,0.536103766758851,0.476963254519314,1.0,1.0,0.0,0.0,0.73,0.0,2.76,0.02,0.73,0.0,19.16,0.0,-31.21,0.35,12.257,0.3111,70393992870.3184,58785701029.3613,49073315600.5314,66868504678.1752,8.30387462553368e-37,1.33414983867138e-212,0.0,1.32457795506043e-23,0.02088318820013685,0.007894137754566067,2.871878172412523,0.02447770525265902,57.67379532430678,57.73039529679508,57.68539294122159,57.68539294122159,0.014616692008085136,0.12
8,1204141177,1,141.5,177.5,175.664321,-0.795457,0.1064,4,17.404,16.986,1.892,5.033,0.427,149.93,0.690628361855406,0.649325664951049,0.588130128208612,0.540102490444898,1.0,1.0,0.0,0.0,1.97,0.02,3.74,0.03,0.39,0.0,16.88,0.0,-27.44,0.1,333.683,0.1064,33732733961.5749,43774460739.6228,37581927339.8068,54438989350.6936,2.7477860292345403e-09,4.5999388594498405e-09,7.4912145406449e-54,0.0010418276912213,0.029755292136719992,0.003035144613263281,3.18966943921474,0.007273135424467636,107.30990138250606,106.6814086810742,107.32205700385194,107.32205700385194,0.05249590972232105,0.18
9,1204198199,3,198.5,199.5,175.661154,-0.794235,0.3156,4,18.865,18.372,1.99,3.837,0.691,174.34,0.690628361855406,0.649325664951049,0.588130128208612,0.540102490444898,1.0,1.0,0.67948717948718,0.919354838709677,2.04,0.02,1.35,0.01,0.63,0.0,18.33,0.01,-1.95,0.49,198.831,0.3156,88212257574.5701,95523329996.6036,86750154341.8743,111157117201.176,15.6759417128901,7.97834814210322,1.6919344868468,16.2697104658587,0.08442797582285805,0.004372868609295631,2.4758235998114295,0.019556124329774587,65.84079667393021,65.69021173441377,65.22129539620659,65.22129539620659,0.9957219099332194,0.38
