,MAGPIID,segID,xmax,ymax,RAmax,Decmax,z.x,QOP,mag_it,mag_rt,R50_it,R90_it,axrat_it,ang_it,fwhm_g,fwhm_r,fwhm_i,fwhm_z,stelkinfrac0p5Re,stelkinfracRe,gaskinfrac0p5Re,gaskinfracRe,re_galfit,re_err_galfit,n_galfit,n_err_galfit,q_galfit,q_err_galfit,mag_galfit,mag_err_galfit,pa_galfit,pa_err_galfit,chi2_galfit,z.y,StellarMass_bestfit,StellarMass_median,StellarMass_16,StellarMass_84,SFRburst_bestfit,SFRburst_median,SFRburst_16,SFRburst_84,P_asym,P_asym_err,C,C_err,centre_asym_x,centre_asym_y,centroid_x,centroid_y,walk_dist_pix,nan_frac,v_asym_g,v_asym_g_err,V_rot_g,SNR_g,Sigma_g,v_asym_s,v_asym_s_err,V_rot_s,SNR_s,Sigma_s,SFR_20,SFR_20_err,Ha_20,Ha_20_err,SFR_80,SFR_80_err,Ha_80,Ha_80_err,SFR_50,SFR_50_err,Ha_50,Ha_50_err,StarForm_ID_20,StarForm_ID_80,StarForm_ID_50,SFR_trev,SFR_err_trev,SFR_flag_trev,SNR_Phot,Phot_Flag,Kin_Flag_s,Kin_Flag_g
0,1201197192,2,197.5,192.5,174.711151,-1.928511,0.3462,4,19.195,18.582,1.052,3.012,0.726,102.26,0.707767182131195,0.657309206645654,0.592053528441023,0.541421871857646,1.0,0.886363636363636,0.0,0.0,0.91,0.01,3.3,0.03,0.68,0.0,18.7,0.01,-73.28,0.33,24.91,0.3462,236574251977.498,275997620491.394,242478815631.511,310003095547.202,6.50174517711999e-100,0.000186817601492,2.99450286265475e-39,0.0910251208464138,0.3670707741421721,0.0220865314213074,3.367277479249835,0.094051631081675,74.27758318608925,74.37481671304815,71.84373317365738,71.84373317365738,2.999998906317929,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.386399958440135,1,0,0
1,1201197199,1,197.5,199.5,174.711151,-1.928122,0.3469,4,18.803,18.203,1.175,4.253,0.753,72.49,0.707767182131195,0.657309206645654,0.592053528441023,0.541421871857646,1.0,0.943396226415094,0.0,0.0,2.15,0.04,7.93,0.07,0.85,0.0,17.9,0.01,-60.64,0.64,19.361,0.3469,430077634919.468,425292326278.477,367241462321.578,493360887236.014,0.0005243670361937,2.30243846875829e-07,9.49864138406405e-23,0.0536294235432805,0.6357787380946335,0.0179309355443813,3.5617882054979297,0.1098514024257278,111.43611657352776,110.49997736758024,113.33828090599924,113.33828090599924,2.9999675209005154,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.711851682651659,1,0,0
2,1202197197,2,197.5,197.5,175.33876,-1.582294,0.2913,4,18.514,18.121,2.224,4.752,0.567,132.22,0.685580595757755,0.638082566094695,0.570035746916227,0.516527422854199,1.0,0.901554404145078,1.0,1.0,2.09,0.01,1.59,0.01,0.67,0.0,18.07,0.0,-49.71,0.27,75.824,0.2913,109620784826.3,108490510875.298,96087481254.4977,116404096608.124,1.15587302396512e-13,1.17393150985038e-61,0.0,1.05256043949189e-20,0.1575520547686046,0.0040975121547746,2.6459643666995407,0.025122267454753,78.26828884311081,78.32344161163766,77.00473532108632,77.00473532108632,1.5357838241170445,0.2,0.0628692040630295,0.0015502842005057,193.98178664615423,45.8644303974644,88.10008689420127,0.045856908198221,0.0160899276876573,168.76611780332385,14.595275262651016,106.46712708455736,0.9560942608024336,0.3244196916092214,16505.285,2.0540894486708215e-16,7.366313361810377,0.2375781909902734,173649.34,1.5042454819149783e-16,4.530536214166085,0.282326418258343,89872.664,1.787572492745085e-16,1.0,1.0,1.0,9.73212,0.193272,0.0,7.97798980443149,1,1,1
3,1203040085,6,40.5,85.5,175.355982,0.627485,0.3124,4,19.269,18.641,1.092,2.942,0.703,164.36,0.672699441646158,0.614228065805519,0.536103766758851,0.476963254519314,1.0,0.872340425531915,0.136363636363636,0.0319148936170213,0.91,0.01,3.25,0.03,0.72,0.0,18.58,0.0,-87.92,0.34,10.163,0.3124,170317540589.95,153132979378.411,137216262112.592,170596883285.034,0.0,2.36535370321778e-20,2.00302508323971e-109,1.61437922973667e-05,0.0457478040155126,0.0081305732331106,3.085859063944384,0.7133747762486672,39.68210602917885,41.37737951067382,39.63519007209544,39.63519007209544,0.1771670305667488,0.31,,,,,,0.057823906664274,0.0147231051266452,229.93567925786076,15.084091917281784,252.2333965721696,inf,inf,265.971,inf,0.00196909537939,0.014808247877622,360.073,7.981037831472328e-18,0.2596628594235911,2.1286481292090165,330.3189,1.1472539755890473e-15,2.0,1.0,2.0,,,-99.0,11.88686989812602,1,1,0
4,1203070184,3,70.5,184.5,175.354316,0.632985,0.3084,4,18.831,18.23,1.348,3.622,0.851,82.24,0.672699441646158,0.614228065805519,0.536103766758851,0.476963254519314,1.0,1.0,0.0,0.0,1.62,0.01,4.36,0.03,0.92,0.0,18.02,0.0,-76.19,1.0,20.799,0.3084,269252737820.791,141997282866.617,78792643773.7173,233233528276.463,0.0,7.44133464990344e-41,0.0,4.76244573821982e-07,0.0319755689540418,0.0063200343663229,3.339671579407393,0.3420171099717384,69.78835700270815,71.2862392170383,69.09043924617254,69.09043924617254,0.7889266326233391,0.14,,,,,,0.038641081232784,0.0110566782846172,76.0542018339952,23.004014632903075,227.9168959247704,,,0.0,,1.0106835911990845e-06,7.597463819623795e-05,26.522013,4.2183755451266616e-20,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,-99.0,7.871247625596475,1,1,0
5,1203195161,10,195.5,161.5,175.347371,0.631707,0.2788,4,19.161,18.802,1.69,3.295,0.852,61.11,0.672699441646158,0.614228065805519,0.536103766758851,0.476963254519314,1.0,0.973214285714286,1.0,1.0,1.54,0.01,0.96,0.01,0.84,0.01,18.89,0.01,51.65,1.61,127.54,0.2788,52913363821.5397,58385674640.2829,52872761696.7724,64433537039.9584,2.44200277485718,2.07243605913041,0.680522770453648,3.65298566176319,0.1912185819172927,0.0070042099752191,2.40658135735203,0.0521274077095548,64.65618685847693,64.50002884491933,64.35340558601209,64.35340558601209,0.5150707872567396,0.59,0.0119134941745971,0.0018298127999339,141.11112861061395,50.66866704150641,42.63943315092343,0.0663869899984323,0.0229058329784293,100.81068506487652,9.192428575109789,48.75764752043517,0.4180256483071276,0.1374132538579825,10871.052,9.620922764602375e-17,2.646676011009093,0.1071605283575207,88259.85,7.502792764133339e-17,1.7553475700623289,0.1230158567267103,50991.676,8.612895940971264e-17,1.0,1.0,1.0,2.74486,0.0393967,0.0,6.913295323142174,0,1,1
6,1203196196,2,196.5,196.5,175.347315,0.633651,0.3094,4,18.005,17.415,1.911,5.227,0.755,82.12,0.672699441646158,0.614228065805519,0.536103766758851,0.476963254519314,1.0,1.0,0.0142857142857143,0.0172413793103448,1.91,0.0,2.69,0.0,0.92,0.0,17.31,0.0,78.54,0.38,10.387,0.3094,596958081335.927,370660039709.239,293581655607.018,586761915994.57,0.0,5.4016233702973e-164,0.0,2.62415129531881e-16,0.0200046344217425,0.0044105969483161,3.412782516675368,0.0110367480111641,117.45362570127251,117.45381083893064,117.1849627557535,117.1849627557535,0.4255891238688022,0.26,,,,,,0.0288105251755572,0.0091365269898698,39.4947917483097,24.63954103146692,308.29997689616994,,,0.0,,0.0004581915286437,0.0078404104493261,247.16145,4.320865806718552e-18,0.0008169089721007,0.0227291277029577,152.00693,1.2526067524524927e-17,0.0,2.0,2.0,,,-99.0,9.342054968967108,1,1,0
7,1203230310,5,230.5,310.5,175.345426,0.639985,0.3111,4,19.772,19.2,0.95,2.343,0.748,143.92,0.672699441646158,0.614228065805519,0.536103766758851,0.476963254519314,1.0,1.0,0.0,0.0,0.73,0.0,2.76,0.02,0.73,0.0,19.16,0.0,-31.21,0.35,12.257,0.3111,70393992870.3184,58785701029.3613,49073315600.5314,66868504678.1752,8.30387462553368e-37,1.33414983867138e-212,0.0,1.32457795506043e-23,0.0208831882001368,0.007894137754566,2.871878172412523,0.024477705252659,57.67379532430678,57.73039529679508,57.68539294122159,57.68539294122159,0.0146166920080851,0.12,,,,,,0.030541769181538,0.0090085444120432,120.01206940277072,23.75900114811972,162.70628103677143,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,-99.0,10.929821454297628,1,1,0
9,1204198199,3,198.5,199.5,175.661154,-0.794235,0.3156,4,18.865,18.372,1.99,3.837,0.691,174.34,0.690628361855406,0.649325664951049,0.588130128208612,0.540102490444898,1.0,1.0,0.67948717948718,0.919354838709677,2.04,0.02,1.35,0.01,0.63,0.0,18.33,0.01,-1.95,0.49,198.831,0.3156,88212257574.5701,95523329996.6036,86750154341.8743,111157117201.176,15.6759417128901,7.97834814210322,1.6919344868468,16.2697104658587,0.084427975822858,0.0043728686092956,2.475823599811429,0.0195561243297745,65.84079667393021,65.69021173441377,65.22129539620659,65.22129539620659,0.9957219099332194,0.38,0.0262572962050553,0.0032955063121102,245.79390949851748,13.368298934543583,93.17988443416984,0.0361641063072178,0.0069812319779924,216.92211687068837,12.179526116771155,117.65815955080367,0.7465236624353467,7.536329510662749,765.1166,3.9672356594908646e-15,2.852698179806541,0.3755138562846513,58677.793,1.9767606487715615e-16,1.2957390658694543,0.4531268721040922,22087.25,2.3853270783098016e-16,1.0,1.0,1.0,2.32432,0.0964196,0.0,6.952872916822737,1,1,1
10,1205093221,2,93.5,221.5,178.085597,-0.82547,0.291,4,19.186,18.634,1.207,3.499,0.73,12.65,0.621121643587341,0.585630337568697,0.529870547755623,0.48802634487448,1.0,1.0,1.0,0.741379310344828,2.24,0.04,7.61,0.07,0.63,0.0,18.27,0.01,11.54,0.15,20.442,0.291,94849430184.3496,92949339385.0266,67192885428.4465,111636642710.217,0.276719035219222,0.0045297486710941,7.424357500286519e-36,0.543365080334275,0.0269811048635452,0.0063441319195077,3.3970384821645268,0.0082222494896927,77.08684335595726,76.91896392875638,77.18191498806009,77.18191498806009,0.4442019874948094,0.06,,,,,,0.0397978908412099,0.0107747318354674,32.34969161367565,27.250075473020352,197.74362998414924,25.552828274099728,26.643000070220584,1709.6273,1.6909202499571733e-14,2.323851119652371,0.8475431848416284,4887.5596,5.379003603891218e-16,6.021978402246943,2.5832786378522647,4155.4067,1.6394993613757898e-15,2.0,2.0,2.0,0.309498,0.0704316,0.0,6.188761672386602,1,1,0
